Activity,Count
pré projet,19
Axe 1 : outil de communauté de connaissance,110
Axe 2 : outile de monitoring centralisé à l'échelle du territoire,94
Axe 3 : Capitalisation REXperfo énergétique comme abse de connaissance,50
Récolte d'un set de données,5
Cartographie d'un set de données,0
Programmation,0
Conception,0
Liste de tâches,0
tests scraping Notion,0
création carte,0
